R2       F
000000010012552550M 000406110
000000020010000000M 001009690
000000030012552550M 001013170
000000040010010010M 001016470
000000010010000000M 000433920
000000020012552550M 000434940
000000030010010010M 000437020
000000010010000000M 000040960
000000020012552550M 000041790
000000030010000000M 000213310
000000040012552550M 000221580
000000050010010010M 000237470
000000060010000000M 000306870
000000010012552550R 000453440
000000020012552550R 000457870
000000030012552550R 000504610
000000040012552550R 000509350
000000050012552550R 000512540
000000060012552550R 000515630
000000070012552550R 000518880
000000080012552550R 000638970
000000090012552550R 000644580
000000100012552550R 000647900
000000110012552550R 000650570
000000120012552550R 000653250
000000130012552550R 000655920
000000140012552550R 000700050
000000150012552550R 000702850
000000160012552550R 000709600
000000170012552550R 000712110
000000180012552550R 000715430
000000190012552550R 000718990
000000200012552550R 000725750
000000210012552550R 000728560
000000220012552550R 000744440
000000230012552550R 000748690
000000240012552550R 000806340
000000250012552550R 000808910
000000260012552550R 000811520
000000270012552550R 000817300
000000280012552550R 000820140
000000290012552550R 000837980
000000300012552550R 000840320
000000310012552550R 000843080
000000320012552550R 000845650
000000330012552550R 000848110
000000340012552550R 000852010
000000350012552550R 000856060
000000360012552550R 000858670
000000370012552550R 000901560
000000380012552550R 000904280
000000390012552550R 000908160
000000400012552550R 000958230
000000410012552550R 001013940
000000420012552550R 001016950
000000430012552550R 001020370
000000440012552550R 001025090
000000450012552550R 001028580
000000460012552550R 001032040
000000470012552550R 001036110
000000480012552550R 001040100
000000490012552550R 001042580
000000500012552550R 001044940
000000510012552550R 001047970
000000520012552550R 001052150
000000530012552550R 001405640
000000540012552550R 001410370
000000550012552550R 001425580
000000560012552550R 001432400
000000570012552550R 001434880
000000580012552550R 001437350
000000590012552550R 001441270
000000600012552550R 001443790
000000610012552550R 001446370
000000620012552550R 001448800
000000630012552550R 001451220
000000640012552550R 001453580
000000650012552550R 001457810
000000660012552550R 001500500
000000670012552550R 001502850
000000680010000000R 001545560
000000690010000000R 001548730
000000700010000000R 001552760
000000710010000000R 001558060
000000720010000000R 001600780
000000730010000000R 001603860
000000740010000000R 001606780
000000750010010010R 001839200
000000760010010010R 001849340
000000770010010010R 001851870
000000780010010010R 001854610
000000790010010010R 001857040
000000800010010010R 001902050
000000810010020010R 002126770
000000820010020010R 002129660
000000830010020010R 002133250
000000840010020010R 002137050
000000850010020010R 002139530
000000860010020010R 002142130
000000870010020010R 002145100
000000880010020010R 002148240
000000890010020010R 002150590
000000900010020010R 002152940
000000910010030010R 002348690
000000920010030010R 002352940
000000930010030010R 002356420
000000940010030010R 002359820
000000950010030010R 002403080
000000960010040010R 002507980
000000970010040010R 002510380
000000980010040010R 002513960
000000990010040010R 002516800
000001000010040010R 002520280
000001010010040010R 002522920
000001020010040010R 002526010
000001030010040010R 002530130
000001040010040010R 002833820
000001050010040010R 002836650
000001060010040010R 002839840
000001070010040010R 002843920
000001080010000000R 002914270
000001090010000000R 002919230
000001100010050010R 002924420
000001110010050010R 002927840
000001120010050010R 002930280
000001130010050010R 002936050
000001140010050010R 002941300
000001150010050010R 002945530
000001160010050010R 002949710
000001170010050010R 002952870
000001180010050010R 002955680
000001190010060010R 003113750
000001200010060010R 003117020
000001210010060010R 003120920
000001220010060010R 003123870
000001230010060010R 003128360
000001240010060010R 003132710
000000110010000000M 003358050
000000120010000000M 003413030
000000130012552550M 003420660
000000110012552550M 003429980
000000110010000000M 003531660
000000120010000000M 003542380
000000110010010010M 003607030
000000110012552550M 003624330
O
